Dateiname,Titel,Videos,Beschreibung,Links,,,,,,
PW_W01_L01_Willkommen,👋 Willkommen in der Produktivitäts-Werkstatt,https://iframe.mediadelivery.net/play/457384/b9b86a03-620e-49ba-b3b8-9608c1ca411d,"Deine Transformation beginnt hier: Die Produktivitäts-Werkstatt Stell dir vor, du könntest deine Produktivität verdoppeln – und das mit mehr Leichtigkeit und Freude als je zuvor. In den kommenden zwölf Wochen machen wir genau das möglich. Willkommen in der Produktivitäts-Werkstatt, deinem Weg zu einem erfüllteren und effizienteren Arbeits- und Lebensalltag. Was dich erwartet? 🌏 Ein wissenschaftlich fundiertes, praxiserprobtes System, das bereits über 30 Menschen zu ihrer persönlichen Bestleistung geführt hat. Jede Woche erschließt du dir einen neuen Bereich deines Potentials – von fokussiertem Arbeiten über intelligente Organisation bis hin zu nachhaltiger Energie und Erholung. Meine Mission für dich • Messbare Verdopplung deiner Produktivität: Keine leeren Versprechen – mit dem ""Produktivitäts-Katalysator"" messen wir deinen Fortschritt von Anfang an. • Ein lebendiges System: Hier erwartet dich kein starres Konzept, sondern ein flexibles Framework, das sich an deine Bedürfnisse anpasst und mit dir wächst. • Wissenschaft trifft Praxis: In über zehn Jahren habe ich die effektivsten Methoden aus Forschung, Coaching und eigener Erfahrung zu einem ganzheitlichen Ansatz vereint. Wer spricht hier? 🗣 Ich bin Lukas Zangerl, und mein Weg zur Produktivität war alles andere als geradlinig. Mit 18 Jahren fiel ich durch die Matura - in zwei Fächern hatte ich die Prüfungen nicht bestanden. Diese Erfahrung brachte mich zum Nachdenken: Ich wusste, dass es nicht an mangelnder Intelligenz lag, sondern an meiner Herangehensweise ans Lernen und Arbeiten. Durch die Beschäftigung mit Produktivitätsmethoden fand ich neue Wege, mich Herausforderungen zu stellen. Mit Erfolg: Zwei Jahre später bestand ich die Aufnahmeprüfung bei SWISS Aviation Training und wurde Linienpilot. Ein spannender Beruf, aber ich merkte mit der Zeit, dass ich mich in eine andere Richtung entwickeln wollte. Ich entschied mich für einen Wechsel und arbeitete als Agile Coach bei einer großen Bank in Zürich. Parallel studiere ich Wirtschaftsinformatik mit Fokus auf Big Data und AI. Um Menschen noch besser in ihrer Entwicklung unterstützen zu können, bildete ich mich außerdem zum NLP-Master Trainer, Mentaltrainer und Burnout-Prophylaxe-Coach weiter. So, genug von mir, jetzt geht es um dich. Die kommenden 12 Wochen geht es um dich. Dein Weg beginnt jetzt In der ersten Woche legen wir gemeinsam das Fundament: 1. Standortbestimmung mit dem Produktivitäts-Katalyst 2. Einführung in das System und Entwicklung eines Forscher-Mindsets 3. Vernetzung mit Gleichgesinnten in unserer Community Mit jedem weiteren Modul bauen wir systematisch dein persönliches Produktivitätssystem auf. Am Ende dieser Reise wirst du nicht nur effizienter arbeiten – du wirst einen nachhaltigen Flow erreichen, der Energie und Freude in deinen Alltag bringt. Bist du bereit, deine Transformation zu starten? Dann lass uns gemeinsam den ersten Schritt machen – herzlich willkommen in der Produktivitäts-Werkstatt! 🧰",https://docs.google.com/forms/d/e/1FAIpQLScXyhGZ6b2HbcZxZKAYim6R3uYxPDsZbWf06VyiLing7yZxtw/viewform,,,,,,
PW_W01_L02_Mindset,🧠 Das Produktivitäts Tüftler Mindset,https://iframe.mediadelivery.net/play/457384/dce89094-0254-4f74-9054-a42938826411,"Ich ""challenge"" dich (nur für die nächsten 12 Wochen 😀), das Mindset eines Forschers, oder Tüftlers anzunehmen. Du hast eine Hypothese. Anstatt ihr blind zu vertrauen oder zu hoffen, dass sie stimmt, testest du sie. Jede Methode, jedes Tool in diesem Kurs ist ein Experiment. Teste – bewerte – passe es an. Experimentiere und mach Fehler, damit du siehst welche Produktivitätsmethoden in dein Leben passen und welche nicht. Jede Woche werden wir ein neues Experiment (hochexplosiv mit möglicherweise bahnbrechenden Erkenntnissen) austesten. 💥💨 Es sind die kleinen täglichen Umsetzungen die zählen. 💪 Nicht alle Experimente und Methoden werden für dich funktionieren, und das ist auch in Ordnung. So weißt du was am besten zu dir passt. Am Ende der 12 Wochen wirst du DEIN individuelles Lebensproduktivitätssystem haben. 📖 Buchempfehlung: ""Mindset"" von Carol S. Dweck. Hier ist eine einfache und verständliche Zusammenfassung des Buches ""Mindset"" von Carol Dweck: Das Buch ""Mindset"" zeigt uns, dass unsere Denkweise einen riesigen Einfluss auf unser Leben hat. Die Autorin Carol Dweck erklärt, dass es zwei verschiedene Arten gibt, wie Menschen denken können: 1. Das ""Fixed Mindset"" (Festgefahrene Denkweise): - Menschen glauben hier, dass ihre Fähigkeiten angeboren und unveränderbar sind - Sie denken: ""Entweder ich kann etwas, oder ich kann es nicht"" - Sie vermeiden Herausforderungen aus Angst vor Fehlern - Sie sehen Anstrengung als Zeichen von Schwäche 2. Das ""Growth Mindset"" (Wachstums-Denkweise): - Menschen glauben, dass sie sich durch Übung und Lernen verbessern können - Sie denken: ""Ich kann alles lernen, wenn ich mich anstrenge"" - Sie suchen Herausforderungen, um zu wachsen - Sie sehen Fehler als Chance zum Lernen Was macht das mit uns? - Mit einem Fixed Mindset fühlen wir uns ständig unter Druck, uns beweisen zu müssen - Mit einem Growth Mindset sind wir entspannter und lernen mehr - Unsere Denkweise beeinflusst, wie wir mit Rückschlägen umgehen - Sie bestimmt auch, wie gut unsere Beziehungen funktionieren Besonders wichtig für Eltern und Lehrer: - Kinder entwickeln ihre Denkweise schon ab 3 Jahren - Die Art, wie wir Kinder loben, ist entscheidend - ""Du bist so klug!"" fördert ein Fixed Mindset - ""Du hast dich so angestrengt!"" fördert ein Growth Mindset Die gute Nachricht: - Wir können unsere Denkweise ändern - Ein Growth Mindset kann man lernen - Es ist nie zu spät dafür - Kleine Änderungen in unserem Denken können große Wirkung haben Praktische Tipps aus dem Buch: - Herausforderungen als Chancen sehen - ""Noch nicht"" statt ""kann ich nicht"" denken - Aus Fehlern lernen wollen - Sich über die Erfolge anderer freuen, statt neidisch zu sein Das Wichtigste zum Schluss: Mit einem Growth Mindset können wir: - Mehr erreichen - Glücklicher sein - Bessere Beziehungen haben - Uns ständig weiterentwickeln Das Buch zeigt: Unsere Denkweise ist wie ein Werkzeug. Wenn wir das richtige Werkzeug wählen - das Growth Mindset - können wir unser Leben positiv verändern. Diese Zusammenfassung macht die wichtigsten Punkte des Buches leicht verständlich und zeigt, wie wir die Erkenntnisse im Alltag nutzen können. Das Beste daran ist: Jeder kann diese Prinzipien anwenden, egal in welchem Alter oder Lebensbereich.","https://www.amazon.de/Mindset-Psychology-Carol-S-Dweck/dp/0345472322?__mk_de_DE=%C3%85M%C3%85%C5%BD%C3%95%C3%91&crid=32R9NHLU8EC6G&dib=eyJ2IjoiMSJ9.1odAikoJckckTNOa4OHol0WpS6B_TecUsGqKckR4SERLVj3W9WGDTxg2GgvfZEO-0Ih91glU_o6welhJiyIe-nKxMSr3YsZ_sGezcTmek5-0nAonIBDJRrS-cm0t6MbHlKVA_cTX1RyvKFM5okMWeRaELuG1Qrmv83oYm0d3x5KvDOgYoW9_azgpLv7Kv7PqsPmkIasC2umLYqL5Nl1D_7jmMQG4kSSYVcjFP01YfKw.CJiN4MslwNqBJ7QlPH36YtceWBkTpsOdeWVEOuaS6zg&dib_tag=se&keywords=mindset+deutsch&qid=1739751567&sprefix=mindset+deutsch,aps,90&sr=8-5&linkCode=sl1&tag=zangerlcoachi-21&linkId=207848e2d366ae0c2d185b7a6b301135&language=de_DE&ref_=as_li_ss_tl",,,,,,
PW_W01_L03_Katalyst,📝 Der Produktivitäts-Katalyst,https://iframe.mediadelivery.net/play/457384/b499f9a3-e5bb-41c2-a24d-ba335c4333ef,"👉 Zum Produktivitäts-Katalyst Bevor du etwas verbessern kannst, wollen wir wissen, wo du stehst. 💡 Der Produktivitäts-Katalyst ist dein persönlicher Startpunkt. Er zeigt dir: * Welche Bereiche deiner Produktivität bereits stark sind. * Wo du dich verbessern kannst. * Wo du aktuell stehst, im Bezug auf die fünf Produktivitätsfähigkeiten. 📌 So funktioniert es: 1️⃣ Öffne den Produktivitäts-Katalyst 2️⃣ Bewerte verschiedene Bereiche deiner Produktivität von 1 bis 10. 3️⃣ Schreib auf, warum du dir genau diese Wertung gibst. Warum ist das wichtig? 📌 In 12 Wochen wirst du den Test nochmal machen – und deinen Fortschritt schwarz auf weiß sehen. ⏳ Dauer: 15-20 Minuten. 🛠 Nimm dir die Zeit. Es wird sich lohnen.",https://docs.google.com/forms/d/e/1FAIpQLScXyhGZ6b2HbcZxZKAYim6R3uYxPDsZbWf06VyiLing7yZxtw/viewform,,,,,,
PW_W01_L04_LPS_Gewaesser,🌊 Das Lebensproduktivitätssystem - Die Gewässer des Lebens,,"Stell dir vor, du sitzt in einem Boot und segelst durch den unendlichen Ozean des Lebens. Mal gleitest du entspannt über ruhige Gewässer, mal kämpfst du dich durch raue Stürme. Auf deinem Weg entdeckst du zahlreiche Inseln – große und kleine Ziele, die dich anziehen. Genau darum geht es beim „Lebensproduktivitätssystem"": Wie schaffen wir es, unsere Reise voller Sinn, Freude und Effizienz zu gestalten, statt nur stupide „mehr in weniger Zeit"" zu erledigen? In diesem Beitrag entdeckst du: Wie sich der Begriff Produktivität über die Jahrhunderte gewandelt hat Warum das Bild vom Ozean so gut funktioniert Welche Bausteine dein Boot (also dein Produktivitätssystem) ausmachen Wie Freude als „Segel"" alles leichter macht Was du konkret tun kannst, um deinen eigenen Kurs zu setzen Lass uns an Bord gehen und gemeinsam die Segel setzen! ⛵ 1. Wie sich Produktivität verändert hat 19. Jahrhundert: Fokus auf Effizienz Zu Beginn war Produktivität schlicht eine Kennzahl: Output ÷ Zeit. In den Fabriken zählte vor allem, wie viele Produkte in welcher Zeit hergestellt wurden. Das war stark zahlen- und mengenorientiert – mehr Produktion in immer kürzerer Zeit. 20. Jahrhundert: Fokus auf Richtung & Sinn Mit Vordenkern wie Stephen Covey oder David Allen rückte mehr ins Bewusstsein, was wir eigentlich produzieren. Effizienz hilft wenig, wenn du in die falsche Richtung rennst. Es ging verstärkt um Fragen wie: „Welche Ziele wollen wir wirklich erreichen?"" und „Wie können wir in unserer Arbeit Sinn finden?"" 21. Jahrhundert: Fokus auf Freude & Wohlbefinden Heute reden wir mehr und mehr von „Wohlfühlproduktivität"". Für die moderne Wissensarbeit ist langfristige Erfüllung wichtiger denn je. Wir wollen effizient und sinnhaft arbeiten, ohne dabei auszubrennen. Eine Arbeit, die uns Spaß macht, wirkt wie ein guter Wind, der uns beim Segeln voranbringt. 2. Die Gewässer des Lebens – Ein Modell Stell dir dein Leben als einen riesigen Ozean vor. Dein Boot hat klaren Start und ein unvermeidliches Ende. Aber dazwischen liegt eine Welt voller Möglichkeiten: Geburt bis Tod Unsere Lebenszeit fließt von der Geburt bis zum Tod, ohne Rückwärtsgang. Du kannst nicht zurückrudern und vergangene Entscheidungen ungeschehen machen. Das heißt aber nicht, dass alles feststeht – ganz im Gegenteil. Viele mögliche Routen Zwischen Start und Ziel liegen unzählige Inseln, die du ansteuern kannst. Vielleicht willst du eine Familie gründen, ein Unternehmen aufbauen, als Profisportler durchstarten oder die Welt bereisen. Wir alle haben unterschiedliche Träume – und auch unterschiedliche Winde, die uns antreiben (oder bremsen). Stürme & Gegenwinde Nicht alle Inseln sind für jeden gleich erreichbar. Wer zum Beispiel nur 1,30 m groß ist, wird es in der NBA ungleich schwerer haben. Das Leben ist voller Zufälle und Hindernisse. Vieles lässt sich nicht steuern, aber wir können lernen, mit diesen Umständen umzugehen und gegebenenfalls den Kurs anzupassen. Der Fokus auf die Reise Wir denken oft, unser jetziger Standort sei „alternativlos"", dabei hätten andere kleine Entscheidungen in der Vergangenheit zu einem völlig anderen Kurs geführt. Genau deshalb ist es so wichtig, den Weg zu genießen, anstatt nur stur aufs Ziel zu starren. 3. Das Boot – Aufbau des Lebensproduktivitätssystems Betrachten wir jetzt unser „Boot"" im Detail. Es steht sinnbildlich für dein persönliches Produktivitätssystem, das dich sicher durch dein Leben navigiert. 3.1 System: Kompass (Richtung) & Antrieb (Vorwärtsbewegung) 🧭 Der Kompass Lebenskompass: Was ist dir wirklich wichtig im Leben? Jahresziele: Welche großen Vorhaben oder Projekte möchtest du in den nächsten 12 Monaten angehen? Vierteljährliche Aufgaben: Welche Schritte und Meilensteine hast du in den nächsten 3 Monaten vor dir? Diese Kompassnadel hilft dir, inmitten des unendlichen Ozeans eine klare Richtung zu behalten, damit du nicht ziellos herumschipperst. 🚀 Der Antrieb Konzentrierte Stunden (täglich): Zeiträume für fokussierte Arbeit, sogenannte „Deep Work"". Freudige Tage (täglich/wöchentlich): Momente, in denen du bewusst Aktivitäten nachgehst, die dir Spaß machen und dich aufladen. Ausgeglichene Wochen (wöchentlich): Ein Rhythmus zwischen Arbeit und Erholung, der dich langfristig leistungsfähig hält. Diese Motoren sorgen dafür, dass dein Boot stetig vorankommt, ohne von äußeren Umständen allein herumgetrieben zu werden. 3.2 Der Kapitän: Das Selbst & die Fähigkeiten Ein Boot braucht einen fähigen Kapitän. Das bist du – mit all deinen Stärken, aber auch Bedürfnissen. 🍁 Das Selbst (Körper, Herz, Verstand) Kümmere dich um deine körperliche und mentale Gesundheit. Sei achtsam mit deinen Emotionen und Gefühlen. Erhalte deinen Verstand fit durch Lernen, Denken und Reflektion. 🔑 Die fünf Schlüsselkompetenzen Ausrichten: Was ist dein Ziel? Wie bleibst du auf Kurs? Organisieren: Wie strukturierst du Aufgaben, Zeit und Umfeld? Reflektieren: Was lernst du aus deinen Erfahrungen? Wie passt du dich neuen Situationen an? Fokussieren: Wie arbeitest du konzentriert, ohne dich ablenken zu lassen? Auftanken: Wie baust du Pausen ein und tankst Energie? Ohne diese Fähigkeiten wird das Steuern deines Lebensbootes schnell mühsam. Mit ihnen behältst du das Ruder in der Hand. 3.3 Der Raum: Physisch, digital & Gemeinschaft Physischer Raum: Unsere unmittelbare Umgebung – vom Schreibtisch bis zu den eigenen vier Wänden. Digitaler Raum: Unser digitales Setup, Apps, Cloud-Systeme und Kommunikationskanäle. Gemeinschaft: Die Menschen um uns herum – Familie, Freunde, Arbeitskolleg:innen, Online-Netzwerke. Wenn du in einem Umfeld segelst, das dich unterstützt, bleibst du eher motiviert und fokussiert. Achte darauf, dein physisches und digitales Umfeld so zu gestalten, dass es deine Ziele fördert – und wähle deine „Crew"" (die Menschen, mit denen du dich umgibst) mit Bedacht. 4. Das Segel: Die Freude an der Arbeit Stell dir dein Segel vor: Es fängt den Wind ein und gibt dir Vortrieb. Je mehr Freude und Sinnhaftigkeit du in deine Arbeit einwebst, desto leichter wirst du vorankommen. Ist dein Segel eingerissen, musst du viel rudern und arbeiten, um ans Ziel zu gelangen. Mit intaktem Segel hingegen kannst du dich vom Wind tragen lassen. „Wohlfühlproduktivität"" bedeutet, dass Spaß und Erfüllung nicht nur nice to have, sondern essenzielle Bestandteile deines Erfolges sind. Diese Freude verleiht dir langfristig Kreativität und Energie, statt dich auszubrennen. 5. Zusammenfassung & Ausblick Lebensproduktivität geht über reines „Effizient-sein"" hinaus: Es verbindet Effizienz, Sinn und Freude. Das Modell vom Boot im Ozean hilft dir, die Reise (dein Leben) ganzheitlich zu betrachten. System & Fähigkeiten bilden den Kern deines Produktivitätssystems. Doch auch Selbst und Raum sind wichtig, um gesund und klar auf Kurs zu bleiben. Das Segel steht für die Freude an der Arbeit – ohne sie wird die Reise viel beschwerlicher. In diesem Kurs (oder Programm) wollen wir gemeinsam an deinem „Boot"" arbeiten: Wir schauen uns genauer an, wie du deinen Kompass ausrichtest, deine Antriebe optimierst und deine Kapitänsfähigkeiten schulst. Außerdem werfen wir einen Blick auf dein Umfeld und natürlich auf dein „Segel"", damit du nicht nur ankommst, sondern die Fahrt auch genießen kannst. Vielen Dank für's Lesen und viel Erfolg beim Navigieren durch deine ganz persönliche Lebensreise!",,,,,,,
PW_W01_L05_LPS_Ueberblick,📊 Das Lebensproduktivitätssystem im Überblick,https://iframe.mediadelivery.net/play/457384/14a1b04c-fdd1-4d20-9eb1-26eab1d51b1c,"Unser Produktivitäts-System besteht aus zwei Teilen: 1. Vision = Die Richtung unseres Bootes 🧭 2. Aktion = Der Antrieb unseres Bootes 🚀 Das Lebensproduktivitätsystem besteht aus 5 Modellen 🧭 Richtung: * Lebenskompass – Deine langfristige Vision. * 3 Jahres Skizze – Deine 3-jährigen großen Ziele. * Quartals Missionen – 90 Tage ""Sprints"" die greifbar sind. 🚀 Antrieb: * Fokussierte Stunden – Dein Motor. Er bringt uns voran. * Produktive Tage – Deine Energiequelle. * Ausgeglichene Wochen – Deine nachhaltige Balance. 🛠 Produktivitäts-Fähigkeiten: * Planen * Organisieren * Fokussieren * Reflektieren * Regenerieren 🧍 Selbst: * Körper * Hirn * Herz 🏡 Umfeld: * Physischer Raum * Digitaler Raum * Sozialer Raum",,,,,,,
PW_W01_L06_Experiment_W1,🧪 Experiment Woche 1: Der Produktivitäts-Katalyst,,"Willkommen zu deinem ersten Schritt in Richtung eines maßgeschneiderten Produktivitätssystems! In dieser Woche experimentierst du mit dem Produktivitäts-Katalyst-Fragebogen 🧩, um herauszufinden, welche „LEGO-Steine"" zu dir passen. Stell dir vor, jeder Baustein steht für ein mögliches Werkzeug oder eine Methode – einige passen perfekt, andere müssen angepasst werden, und manche sortierst du vielleicht aus. Genau darum geht es: herausfinden, was für dich funktioniert. Es ist nicht das Ziel, gleich beim ersten Mal alles perfekt zu haben. Viel wichtiger ist, dass du dir erlaubst, verschiedene Ansätze zu testen und so dein persönliches System Stück für Stück aufzubauen. Wie beim LEGO-Prinzip lebst du im „Trial-and-Error-Modus"" 🔍, probierst aus und verbesserst kontinuierlich. Dabei wirst du merken, dass ein starres „One-size-fits-all"" bei Produktivität selten funktioniert. Der Produktivitäts-Katalyst-Fragebogen unterstützt dich bei diesem Prozess. Er zeigt dir, wo deine Stärken liegen und an welchen Stellen du nachjustieren kannst. Integriere die Ergebnisse anschließend so in deinen Alltag, wie es sich für dich am besten anfühlt. 👉 Zum Produktivitäts-Katalyst",https://docs.google.com/forms/d/e/1FAIpQLScXyhGZ6b2HbcZxZKAYim6R3uYxPDsZbWf06VyiLing7yZxtw/viewform,,,,,,
PW_W01_L07_Feedback,✅ Lebensproduktivitätssystem: Feedback [BADGE VERFÜGBAR],,"Ich bin immer auf der Suche nach Möglichkeiten, die Produktivitäts-Werkstatt zu verbessern, daher würde ich mich uns sehr über Dein Feedback zu diesem Modul freuen 🙏",,,,,,,
PW_W02_L01_Reflexion,🤓 Reflexion - Das Lebensproduktivitätssystem,https://iframe.mediadelivery.net/play/457384/ecd8ab4a-8f5c-48e4-91a0-db80510fc472,"Mehr zum Thema ""Lernen lernen"" auf meinem Blog Neurohackingly. 🤓 Wir reflektieren wir mithilfe Active Recall und Spaced Repetition als die zwei wirksamste Lerntechniken über Woche 1 - Das Lebensproduktivitätssystem. Vergiss nicht, den Produktivitäts-Katalyst Fragebogen zu machen. Wenn man ein Ziel hat und wohin möchte, ist es gut zu sehen wo man gerade steht. 📕 Buch: Das merk ich mir!: Erfolgreich lernen und für immer behalten mit der Make-it-stick-Methode - Für Schule, Studium und Beruf von Peter C. Brown, Henry L. Roediger und Mark A. McDaniel ✅ Todo: Produktivitäts-Katalyst Fragebogen ODER: Produktivitäts-Katalyst Fragebogen als PDF",https://www.neurohackingly.com/studying/,https://docs.google.com/forms/d/e/1FAIpQLScXyhGZ6b2HbcZxZKAYim6R3uYxPDsZbWf06VyiLing7yZxtw/viewform,"https://www.amazon.de/Das-merk-ich-Make-stick-Methode/dp/3442178509?crid=2E7AJH9N9JWQP&dib=eyJ2IjoiMSJ9.RNpABv-JuKyEjelGsiRHXT4HyqHr4CszJpc9Rsx0KarNdNhqR3qNfKInBUASMAHAZ_qpBJTUBugJrNtaUsQbXuWWLStMx2Jxzjpe_QMy7tjv2oyfX6L2h9bMQJ-2G_4WpioYCxqwTa0K1knadnZDZeWfNudX-RuCXevTiDwVKjQ-ewZgQsPBXG4YK2ux_j6NhJqTBI34LBqnpMNFVMgT4SiN0UOMZKgYWQLNpnhPAZA.pUhzSBmaBz9URUaECGYLvC7PNIzHkN-fVn76XO_MI7M&dib_tag=se&keywords=make+it+stick+deutsch&qid=1740310838&sprefix=make+it+stick+,aps,92&sr=8-1&linkCode=sl1&tag=zangerlcoachi-21&linkId=35e78a91a8b00b376d01c8f606ba342b&language=de_DE&ref_=as_li_ss_tl",,,,
PW_W02_L02_Fokus_Tipps,💡 Fokus-Tipps,https://iframe.mediadelivery.net/play/457384/fbae419e-853d-4216-9f65-8b2782341cd7,"Wenn du nicht dabei warst & auch wenn du dabei warst, hier bekommst du als Teilnehmer der Werkstatt die Folien zum Fokus-Workshop: workshop_folien_mehr_fokus_wenig... 5.92 MiB PDF preview Die fokussierten Stunden sind Teil des Antriebs unseres Bootes. Vergiss nicht, den Produktivitäts-Katalyst auszufüllen, bevor du dich mit den Strategien zur Verbesserung deines Fokus beschäftigst. Ich teile inspirierende Zitate und Tipps, die dein Leben massiv verändern können, wenn du nur diese eine Strategie anwendest. Oft ist weniger mehr. Viel Spaß beim Anschauen! 🤩 ✅ Todo: Produktivitäts-Katalyst Fragebogen 🎶 Musik: Intense Study - 40Hz Gamma Binaural Beats to Increase Productivity and Focus",https://docs.google.com/forms/d/e/1FAIpQLScXyhGZ6b2HbcZxZKAYim6R3uYxPDsZbWf06VyiLing7yZxtw/viewform,https://www.youtube.com/watch?v=lkkGlVWvkLk,,,,,
PW_W02_L03_Ausrichten_Organisieren,🧭 Ausrichten und Organisieren,https://iframe.mediadelivery.net/play/457384/d90345ce-9e73-44fa-bb70-58edf392b4fc,"🧭 In diesem Video geht es um die wichtigen Fähigkeiten des Ausrichtens (oder Planens) und Organisierens für effektive Fokusstunden. Ich erkläre, wie du deine physische und virtuelle Umgebung optimal gestaltet, um Ablenkungen zu minimieren. Ich lade dich ein wöchentlich mindestens an einer Co-Working-Session teilzunehmen. Melde dich hier unter #Events an um dir den Kalendertermin direkt in deinen Kalender zu importieren. Drücke auf ""RSVP"" um zu zeigen, dass du das Commitment hast, dabei zu sein. Das wird die Chancen, dass du dich nicht kurzfristig rausredest und die Macht des Co-Working für dich nutzt erheblich erhöhen. ⏳ Anmelden zu den Fokusstunden Diese Studie zeigt, dass allein die Anwesenheit eines ausgeschalteten Smartphones im Sichtfeld unsere grundlegende Aufmerksamkeitsleistung und Arbeitsgeschwindigkeit deutlich verringert - selbst wenn wir es nicht aktiv nutzen oder anschauen, da unser Gehirn unbewusst kognitive Ressourcen dafür aufwendet. Überblick 🧭 Ausrichten (Planen) 📂 Organisieren",,,,,,,
